epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.79685,0.87139,3.41683,1.31776,0.12236,0.24471,0.12585,0.12158,0.3004,6.43508,0.93806,3.334e-05,3.334e-05,3.334e-05
2,7.26714,0.85365,3.80078,1.31225,0.11904,0.5,0.13492,0.12912,0.31266,6.09765,0.93907,8.16997e-05,8.16997e-05,8.16997e-05
3,9.06454,0.8319,3.53899,1.33646,0.66339,0.75,0.91167,0.73272,0.31315,8.45574,0.95177,0.000128079,0.000128079,0.000128079
4,11.3654,0.65642,1.62659,1.16903,0.73842,0.75,0.82833,0.78692,0.43718,3.99922,0.97342,0.000172478,0.000172478,0.000172478
5,13.5846,0.51888,1.21666,1.02471,0.6641,1,0.87,0.83895,0.36344,7.18333,0.9461,0.000214896,0.000214896,0.000214896
6,15.952,0.64017,1.11185,1.11162,0.6273,1,0.91167,0.75599,0.60354,7.49157,1.04964,0.000255334,0.000255334,0.000255334
7,18.0162,0.59145,0.94876,1.03911,1,0.75,0.995,0.97001,0.38757,3.37711,0.92448,0.000293792,0.000293792,0.000293792
8,20.1833,0.65827,1.18886,1.10244,0.66095,1,0.87,0.77097,0.46795,3.7159,0.94853,0.000330269,0.000330269,0.000330269
9,22.2252,0.63477,1.09489,1.09505,1,0.75,0.82833,0.74982,0.50743,7.38761,1.01795,0.000364766,0.000364766,0.000364766
10,24.2159,0.60028,0.95222,1.09439,1,0.5,0.76062,0.67926,0.60511,7.30952,1.1547,0.000397283,0.000397283,0.000397283
11,26.4091,0.61055,1.01618,1.11756,0.29853,0.95681,0.74625,0.58057,0.72844,6.80979,1.04623,0.000427819,0.000427819,0.000427819
12,28.3804,0.57102,1.04916,1.10825,0.57,0.75,0.87,0.76449,0.61091,4.2639,1.00868,0.000456375,0.000456375,0.000456375
13,30.3352,0.60694,0.97695,1.16228,0.74765,0.5,0.51194,0.30109,1.76315,7.60951,2.33617,0.00048295,0.00048295,0.00048295
14,32.2897,0.69813,1.07135,1.15106,0.19655,0.5,0.35715,0.2452,1.95601,5.87208,2.45483,0.000507545,0.000507545,0.000507545
15,34.2712,0.61346,0.91935,1.08074,0.66667,0.5,0.38125,0.30593,0.78373,13.1577,1.40536,0.000530159,0.000530159,0.000530159
16,36.2255,0.61411,0.85574,1.08943,0.75,0.5,0.62379,0.45748,0.77805,11.6751,1.54393,0.000550793,0.000550793,0.000550793
17,38.1731,0.60724,0.81318,1.08807,0.66667,1,0.995,0.82086,0.74883,6.7869,1.42074,0.000569447,0.000569447,0.000569447
18,40.1328,0.64135,0.83611,1.10497,0.75,0.75,0.82833,0.71229,0.67738,5.40692,1.27177,0.000586121,0.000586121,0.000586121
19,42.0969,0.69777,0.82173,1.13435,0.55711,1,0.91167,0.73757,0.83339,6.38437,1.39323,0.000600813,0.000600813,0.000600813
20,44.0793,0.62498,0.76298,1.12829,0.38665,1,0.82833,0.67506,0.62783,8.85234,1.14876,0.000613526,0.000613526,0.000613526
21,46.9844,0.59168,0.83912,1.05419,0.55349,1,0.82917,0.65496,0.54611,7.33837,1.09187,0.000624258,0.000624258,0.000624258
